aes-128-cbc,cifratura,68
aes-128-cbc,decifratura,57
aes-192-cbc,cifratura,102
aes-192-cbc,decifratura,93
aes-256-cbc,cifratura,106
aes-256-cbc,decifratura,115
aes-128-ecb,cifratura,136
aes-128-ecb,decifratura,133
aes-256-ecb,cifratura,98
aes-256-ecb,decifratura,115
des-cbc,cifratura,99
des-cbc,decifratura,86
des-ede3-cbc,cifratura,97
des-ede3-cbc,decifratura,97
camellia-128-cbc,cifratura,104
camellia-128-cbc,decifratura,101
camellia-256-cbc,cifratura,57
camellia-256-cbc,decifratura,60
bf-cbc,cifratura,75
bf-cbc,decifratura,92
aes-128-cbc,cifratura,57
aes-128-cbc,decifratura,57
aes-192-cbc,cifratura,56
aes-192-cbc,decifratura,82
aes-256-cbc,cifratura,73
aes-256-cbc,decifratura,127
aes-128-ecb,cifratura,104
aes-128-ecb,decifratura,102
aes-256-ecb,cifratura,101
aes-256-ecb,decifratura,105
des-cbc,cifratura,82
des-cbc,decifratura,79
des-ede3-cbc,cifratura,65
des-ede3-cbc,decifratura,75
camellia-128-cbc,cifratura,97
camellia-128-cbc,decifratura,60
camellia-256-cbc,cifratura,87
camellia-256-cbc,decifratura,88
bf-cbc,cifratura,83
bf-cbc,decifratura,91
